site,lat,lon,vadm,vadm_sigma,n,int,age,age_sigma
mc1004,-77.84,166.69,46.33,0.31,3,35.23,0.34,0.01
mc1015,-77.46,169.21,33.66,0.94,3,25.57,1.33,0.02
mc1019,-77.88,165.3,32.08,0.2,3,24.4,0.0811,0.0151
mc1029,-78.31,164.79,59.7,0.5,7,45.46,0.18,0.08
mc1030,-78.34,164.88,61.49,2.75,4,46.82,,
mc1031,-78.35,164.3,40.27,0.99,3,30.67,0.133,0.0117
mc1032,-78.35,164.3,37.46,0.24,4,28.52,0.0078,0.012
mc1035,-78.39,164.24,32.52,0.43,3,24.77,0.12,0.02
mc1109,-78.28,163.54,42.69,1.75,3,32.5,1.26,0.04
mc1115,-78.24,162.96,41.04,2.12,5,31.24,2.46,0.31
mc1117,-78.24,162.97,34.98,0.13,4,26.62,2.28,0.24
mc1119,-78.24,162.96,49.49,1.21,4,37.67,1.08,0.22
mc1120,-78.24,163.09,31.7,0.19,3,24.13,1.76,0.05
mc1121,-78.23,162.95,53,2.53,6,40.35,2.51,0.06
mc1128,-78.21,166.57,45.85,1.07,3,34.9,8.75,0.03
mc1131,-78.21,166.57,21.81,0.32,5,16.6,9.66,0.18
mc1139,-78.26,163.08,40.94,0.99,3,31.17,0.88,0.08
mc1140,-78.28,163,45.58,3.51,3,34.7,2.03,0.09
mc1142,-77.85,166.68,20.98,2.57,4,15.95,1.23,0.02
mc1147,-78.2,162.96,29.78,2.06,3,22.67,1.63,0.34
mc1155,-77.7,162.25,39.42,0.16,3,29.97,1.5,0.05
mc1157,-77.7,162.26,43.18,1.54,4,32.83,1.71,0.01
mc1164,-77.51,169.33,107.63,2.51,3,81.77,1.36,0.01
mc1167,-77.49,169.29,58.49,0.12,3,44.43,,
mc1207,-77.68,166.52,69.91,0.42,3,53.13,0.5187,0.0043
mc1217,-77.51,167.44,40.7,2.91,5,30.92,0.16,0.01
mc1218,-77.56,166.98,45.48,1.23,5,34.56,0.03,0.01
mc1306,-77.7,162.69,9,0.03,3,6.84,2.56,0.13
