site,n,int,vadm,lat,lon,age,age_sigma,vadm_sigma,int_sigma
GHI02,3,25.16,47.23,33.158,35.777,108.9,1.6,4.255424784,2.266767155
GHI03,13,59.91,112.53,33.123,35.724,108.8,2.6,18.74171632,9.978834781
GHI05,7,23.42,44.05,32.99,35.767,167.9,25.5,6.278910444,3.337523319
GHI06,20,27.2,51.13,33.07,35.771,114.5,8.5,3.691978315,1.964434029
GHI07,6,23.32,43.83,33.086,35.756,680.5,18.3,3.633252496,1.933583892
GHI09,3,32.76,61.47,33.194,35.753,89.4,25.1,7.908476663,4.214593693
GHI18,3,33.26,62.55,33.026,35.495,,,6.822185197,3.627951672
GHI20,7,33.59,63.24,32.926,35.85,,,3.088434592,1.640322268
GHI21,3,22.93,43.18,32.926,35.85,1676.5,30.2,5.161622524,2.741429068
GHI25,4,58.24,109.22,33.249,35.789,872.3,5.3,7.86372449,4.193649962
GHI26,6,49.05,92.01,33.22,35.777,870.4,16.9,2.731071218,1.455917809
GHI27,6,37.35,70.08,33.212,35.786,1149.8,34.8,4.620215668,2.462776211
GHI28,5,32.32,60.64,33.212,35.786,1191.2,15.2,4.156231709,2.21545255
GHI29,6,29.14,54.7,33.179,35.793,,,4.538412666,2.418161836
GHI39,3,17.82,33.45,33.141,35.682,,,6.963114872,3.708292509
GHI44,4,44.88,84.38,33.042,35.836,1436.9,19.5,3.960039796,2.106329746
