author,site,spec,lat,lon,int,vadm,age,notes
tauxe,sr29,sr29c1,43.305,247.7322,40.8,67.94495181815086,204 ± 84 ka,
tauxe,sr30,sr30a1,43.3682,247.3447,50.2,83.54172787250167,71 ± 36 ka,
tauxe,sr30,sr30a2,43.3682,247.3447,48.5,80.71262553418985,71 ± 36 ka,
tauxe,sr34,sr34b1,43.8859,247.1995,72.9,120.64405349245837,930 ± 20 ka,
tauxe,sr34,sr34j1,43.8859,247.1995,80.5,133.22148568097253,930 ± 20 ka,
tauxe,sr37,sr37j1,43.5329,248.2937,38.0,63.12629672864641,x,
Cromwell et al. 2014,A-8,A-8a,64.7232,-19.6146,76.8,106.87683872917664,Weichsel,
Cromwell et al. 2014,A-8,A-8b,64.7232,-19.6146,74.4,103.53693751888987,Weichsel,
Cromwell et al. 2014,A-8,A-8c,64.7232,-19.6146,80.5,112.02585309503542,Weichsel,
Cromwell et al. 2014,A-8,A-8d,64.7232,-19.6146,81.6,113.55664114975018,Weichsel,
Cromwell et al. 2014,A-8,A-8e,64.7232,-19.6146,80.3,111.74752799417818,Weichsel,
Cromwell et al. 2014,A11,A11b,64.52199999999999,-18.4717,49.6,69.10631338927432,Weichsel,
Cromwell et al. 2014,A11,A11c,64.52199999999999,-18.4717,50.1,69.80294961295652,Weichsel,
Cromwell et al. 2014,A11,A11d,64.52199999999999,-18.4717,52.1,72.58949450768533,Weichsel,
Cromwell et al. 2014,A11,A11e,64.52199999999999,-18.4717,48.0,66.87707747349128,Weichsel,
Cromwell et al. 2014,A24,A24b,64.673,-17.7661,59.8,83.24369240960502,Weichsel,
Cromwell et al. 2014,A24,A24c,64.673,-17.7661,53.2,74.05626147476568,Weichsel,
Cromwell et al. 2014,A24,A24d,64.673,-17.7661,70.6,98.2776703029785,Weichsel,
Cromwell et al. 2014,A24,A24e,64.673,-17.7661,67.0,93.26634433852068,Weichsel,
Cromwell et al. 2014,A26,A26a,64.6923,-17.8965,36.0,50.10758804949051,Weichsel,
Cromwell et al. 2014,A26,A26b,64.6923,-17.8965,40.9,56.92778753400448,Weichsel,
Cromwell et al. 2014,A26,A26c,64.6923,-17.8965,42.5,59.15479144731517,Weichsel,
Cromwell et al. 2014,A29,A29b,63.968999999999994,-18.6798,79.1,110.57216299016908,Weichsel,
Cromwell et al. 2014,A29,A29e,63.968999999999994,-18.6798,83.2,116.30346347385675,Weichsel,
Cromwell et al. 2014,A2,A2b,64.4488,-20.5173,36.2,50.45829061091106,Weichsel,
Cromwell et al. 2014,A2,A2c,64.4488,-20.5173,42.3,58.96093074147894,Weichsel,
Cromwell et al. 2014,A32,A32c,64.1058,-18.5154,19.8,27.65521397288162,,
Cromwell et al. 2014,A3,A3d,64.429,-20.5704,33.8,47.11851421848681,Weichsel,
Cromwell et al. 2014,A4,A4b,64.4528,-20.3061,39.0,54.35985472641936,late weichsel,
Cromwell et al. 2014,A4,A4c,64.4528,-20.3061,39.1,54.49923896930762,late weichsel,
Cromwell et al. 2014,A4,A4e,64.4528,-20.3061,36.2,50.457095925548224,late weichsel,
Cromwell et al. 2014,A6,A6b,64.5156,-19.8878,53.1,73.98556208431198,saale,
Cromwell et al. 2014,A6,A6c,64.5156,-19.8878,77.7,108.26135920811754,saale,
Cromwell et al. 2014,A6,A6e,64.5156,-19.8878,55.5,77.32954229151252,saale,
Cromwell et al. 2014,HEL-2,HEL-2a,64.0161,-21.8424,52.5,73.36777100813194,early weichsel,
Cromwell et al. 2014,HEL-2,HEL-2b,64.0161,-21.8424,44.1,61.628927646830846,early weichsel,
Cromwell et al. 2014,HEL-2,HEL-2c,64.0161,-21.8424,42.9,59.951950023787816,early weichsel,
Cromwell et al. 2014,HEL-2,HEL-2d,64.0161,-21.8424,41.0,57.29673545396972,early weichsel,
Cromwell et al. 2014,ICE-08R-07,ICE-08R-07b,63.9964,-21.8887,61.7,86.2348335091115,early weichsel,
Cromwell et al. 2014,ICE-08R-07,ICE-08R-07c,63.9964,-21.8887,77.3,108.03813014998896,early weichsel,
Cromwell et al. 2014,ICE-08R-07,ICE-08R-07d,63.9964,-21.8887,57.0,79.66589157243686,early weichsel,
Cromwell et al. 2014,ICE-08R-07,ICE-08R-07e,63.9964,-21.8887,76.2,106.50071820736298,early weichsel,
Cromwell et al. 2014,ICE-08R-08,ICE-08R-08a,64.5697,-18.1997,44.1,61.42603493284446,early weichsel,
Cromwell et al. 2014,ICE-08R-08,ICE-08R-08b,64.5697,-18.1997,50.9,70.89762308575472,early weichsel,
Cromwell et al. 2014,ICE-08R-08,ICE-08R-08c,64.5697,-18.1997,26.1,36.35418393984672,early weichsel,
Cromwell et al. 2014,ICE-08R-08,ICE-08R-08d,64.5697,-18.1997,45.9,63.93322003214423,early weichsel,
Cromwell et al. 2014,ICE-08R-10,ICE08R-10c,64.3717,-18.2484,38.3,53.4098378222662,weichsel,
Cromwell et al. 2014,ICE08R-16,ICE08R-16a,64.8269,-17.7023,34.0,47.2866091641773,weichsel,
Cromwell et al. 2014,ICE08R-16,ICE08R-16c,64.8269,-17.7023,33.4,46.452139590691814,weichsel,
Cromwell et al. 2014,ICE08R-23,ICE08R-23c,64.3222,-18.4605,38.6,53.844031300772606,weichsel,
Cromwell et al. 2014,ICE08R-23,ICE08R-23d,64.3222,-18.4605,31.2,43.52160042964003,weichsel,
Cromwell et al. 2014,ICE08R-23,ICE08R-23e,64.3222,-18.4605,39.2,54.68098515518878,weichsel,
Cromwell et al. 2014,ICE08R-24,ICE08R-24b,64.3205,-18.4326,31.9,44.49849668561571,weichsel,
Cromwell et al. 2014,ICE08R-24,ICE08R-24d,64.3205,-18.4326,38.4,53.56558848675998,weichsel,
Cromwell et al. 2014,ICE08R-24,ICE08R-24e,64.3205,-18.4326,35.3,49.24128316621425,weichsel,
Cromwell et al. 2014,KVIH-1,KVIH-1a,65.8402,-16.9862,47.0,64.98964264557152,weichsel,
Cromwell et al. 2014,KVIH-1,KVIH-1b,65.8402,-16.9862,41.7,57.66102336851772,weichsel,
Cromwell et al. 2014,LON-1,LON-1e,63.9717,-21.9451,37.6,52.559362909971064,early weichsel,
Cromwell et al. 2014,NAL-500,NAL-500a,64.7806,-17.5113,30.7,42.70856447360051,weichsel,
Cromwell et al. 2014,NAL-500,NAL-500c,64.7806,-17.5113,32.5,45.21264968703637,weichsel,
Cromwell et al. 2014,NAL-500,NAL-500d,64.7806,-17.5113,28.5,39.64801587940113,weichsel,
Cromwell et al. 2014,NAL-500,NAL-500e,64.7806,-17.5113,30.7,42.70856447360051,weichsel,
Cromwell et al. 2014,NAL-837,NAL-837b,65.8402,-16.9862,31.0,42.86550897899399,weichsel,
Cromwell et al. 2014,NAL-837,NAL-837e,65.8402,-16.9862,36.8,50.88550743312834,weichsel,
Cromwell et al. 2014,REY-1,REY-1b,63.8124,-22.7137,43.2,60.44559595306917,0-1.2ka,
Cromwell et al. 2014,a15,a15x1,64.2018,-19.0556,18.7,26.10379917799488,weichsel,
Cromwell et al. 2014,a15,a15x2,64.2018,-19.0556,19.1,26.662169213887818,weichsel,
Cromwell et al. 2014,a15,a15x3,64.2018,-19.0556,20.4,28.476871830539867,weichsel,
Cromwell et al. 2014,a15,a15x4,64.2018,-19.0556,19.0,26.522576704914577,weichsel,
Cromwell et al. 2014,a15,a15x6,64.2018,-19.0556,19.1,26.662169213887818,weichsel,
Cromwell et al. 2014,a15,a15x7,64.2018,-19.0556,19.0,26.522576704914577,weichsel,
Cromwell et al. 2014,a15,a15x8,64.2018,-19.0556,18.0,25.12665161518224,weichsel,
Cromwell et al. 2014,a28,a28x1,63.9741,-18.7922,31.5,44.03180749881775,weichsel,
Cromwell et al. 2014,a28,a28x2,63.9741,-18.7922,33.7,47.10704484794152,weichsel,
Cromwell et al. 2014,a28,a28x6,63.9741,-18.7922,29.8,41.655487729040274,weichsel,
Cromwell et al. 2014,a28,a28x7,63.9741,-18.7922,29.8,41.655487729040274,weichsel,
Cromwell et al. 2014,a30 ,a30x1,64.0614,-18.534000000000002,29.5,41.214464818597186,weichsel,
Cromwell et al. 2014,a30 ,a30x4,64.0614,-18.534000000000002,29.4,41.07475476836465,weichsel,
Cromwell et al. 2014,a30 ,a30x8,64.0614,-18.534000000000002,26.9,37.58200351255133,weichsel,
Cromwell et al. 2014,a31,a31x6,64.1103,-18.4616,59.7,83.382408795564,weichsel,
Cromwell et al. 2014,a31,a31x7,64.1103,-18.4616,58.8,82.1253875574399,weichsel,
Cromwell et al. 2014,a31,a31x8,64.1103,-18.4616,60.0,83.80141587493868,weichsel,
Cromwell et al. 2014,a34,a34x1,64.0878,-19.0542,29.9,41.76667943941022,weichsel,
Cromwell et al. 2014,a34,a34x2,64.0878,-19.0542,30.7,42.88418256822387,weichsel,
Cromwell et al. 2014,a34,a34x3,64.0878,-19.0542,30.6,42.74449467712217,weichsel,
Cromwell et al. 2014,a34,a34x4,64.0878,-19.0542,30.7,42.88418256822387,weichsel,
Cromwell et al. 2014,a34,a34x5,64.0878,-19.0542,30.6,42.74449467712217,weichsel,
Cromwell et al. 2014,a34,a34x6,64.0878,-19.0542,33.0,46.09700406356312,weichsel,
Cromwell et al. 2014,a34,a34x7,64.0878,-19.0542,30.7,42.88418256822387,weichsel,
Cromwell et al. 2014,a34,a34x8,64.0878,-19.0542,29.1,40.64917631059657,weichsel,
Cromwell et al. 2014,a34,a38x4,64.1885,-18.957,45.4,63.380039568068305,late weichsel,
Cromwell et al. 2014,isl002a,isl002a3,63.9974,-21.8866,39.0,54.5079130947389,early weichsel,
Cromwell et al. 2014,isl002a,isl002a4,63.9974,-21.8866,38.3,53.52956593662821,early weichsel,
Cromwell et al. 2014,isl002a,isl002a5,63.9974,-21.8866,37.9,52.97051041770782,early weichsel,
Cromwell et al. 2014,isl002b,isl002b1,63.9974,-21.8866,44.3,61.91539872043419,early weichsel,
Cromwell et al. 2014,isl002b,isl002b2,63.9974,-21.8866,46.6,65.1299679542265,early weichsel,
Cromwell et al. 2014,isl002b,isl002b3,63.9974,-21.8866,43.2,60.3779960434031,early weichsel,
Cromwell et al. 2014,isl002b,isl002b4,63.9974,-21.8866,44.3,61.91539872043419,early weichsel,
Cromwell et al. 2014,isl002b,isl002b5,63.9974,-21.8866,44.7,62.4744542393546,early weichsel,
Cromwell et al. 2014,isl002c,isl002c2,63.9974,-21.8866,37.9,52.97051041770782,early weichsel,
Cromwell et al. 2014,isl002c,isl002c3,63.9974,-21.8866,37.0,51.712635500136905,early weichsel,
Cromwell et al. 2014,isl002c,isl002c4,63.9974,-21.8866,36.2,50.59452446229612,early weichsel,
Cromwell et al. 2014,isl002c,isl002c5,63.9974,-21.8866,38.1,53.25003817716801,early weichsel,
Cromwell et al. 2014,isl003,isl003a3,63.9458,-22.0018,34.6,48.37335821085743,early weichsel,
Cromwell et al. 2014,isl004,isl004b5,63.9112,-22.0111,13.9,19.43729138007647,early weichsel,
Cromwell et al. 2014,isl007,isl007a1,64.1205,-21.3162,17.4,24.30092366688884,late weichsel ,
Cromwell et al. 2014,isl007,isl007a4,64.1205,-21.3162,17.6,24.580244628577223,late weichsel ,
Cromwell et al. 2014,isl007,isl007a5,64.1205,-21.3162,16.9,23.602621262667892,late weichsel ,
Cromwell et al. 2014,isl007,isl007b4,64.1205,-21.3162,17.0,23.742281743512088,late weichsel ,
Cromwell et al. 2014,isl009,isl009e5,64.1154,-21.2981,17.7,24.72066130852517,early weichsel,
Cromwell et al. 2014,isl010,isl010a1,64.1183,-21.261,86.3,120.52858533620986,< 2ka,
Cromwell et al. 2014,isl010,isl010a2,64.1183,-21.261,89.4,124.85811737030316,< 2ka,
Cromwell et al. 2014,isl010,isl010a3,64.1183,-21.261,85.3,119.13196209940557,< 2ka,
Cromwell et al. 2014,isl010,isl010a4,64.1183,-21.261,74.5,104.04843114191928,< 2ka,
Cromwell et al. 2014,isl010,isl010a5,64.1183,-21.261,87.7,122.48385786773588,< 2ka,
Cromwell et al. 2014,isl011a,isl011a,64.1002,-21.2473,29.2,40.785827722274874,late weichsel ,
Cromwell et al. 2014,isl011a,isl011a3,64.1002,-21.2473,25.5,35.617760510890726,late weichsel ,
Cromwell et al. 2014,isl011b1,isl011b1,64.1002,-21.2473,29.1,40.6461502300753,late weichsel ,
Cromwell et al. 2014,isl011b1,isl011b3,64.1002,-21.2473,29.1,40.6461502300753,late weichsel ,
Cromwell et al. 2014,isl011b1,isl011b4,64.1002,-21.2473,29.0,40.506472737875725,late weichsel ,
Cromwell et al. 2014,isl011c,isl011c2,64.1002,-21.2473,21.8,30.449693299506585,late weichsel ,
Cromwell et al. 2014,isl011c,isl011c3,64.1002,-21.2473,24.9,34.779695557693294,late weichsel ,
Cromwell et al. 2014,isl012a,isl012a3,64.1155,-21.1407,35.9,50.1396163056862,late weichsel ,
Cromwell et al. 2014,isl012a,isl012a5,64.1155,-21.1407,35.3,49.30162828943518,late weichsel ,
Cromwell et al. 2014,isl012b,isl012b3,64.1155,-21.1407,29.5,41.20107746567529,late weichsel ,
Cromwell et al. 2014,isl012c,isl012c1,64.1155,-21.1407,39.1,54.60888572569166,late weichsel ,
Cromwell et al. 2014,isl012c,isl012c3,64.1155,-21.1407,33.5,46.78766424068211,late weichsel ,
Cromwell et al. 2014,isl012c,isl012c4,64.1155,-21.1407,36.8,51.39659833006273,late weichsel ,
Cromwell et al. 2014,isl013a,isl013a,64.0438,-21.3581,41.8,58.40498218299219,late weichsel ,
Cromwell et al. 2014,isl013a,isl013a1,64.0438,-21.3581,41.8,58.40498218299219,late weichsel ,
Cromwell et al. 2014,isl013a,isl013a2,64.0438,-21.3581,42.7,59.6625057228174,late weichsel ,
Cromwell et al. 2014,isl013a,isl013a3,64.0438,-21.3581,44.6,62.31727764022613,late weichsel ,
Cromwell et al. 2014,isl013a,isl013a4,64.0438,-21.3581,41.7,58.265257345233856,late weichsel ,
Cromwell et al. 2014,isl013a,isl013a5,64.0438,-21.3581,37.7,52.676263834899665,late weichsel ,
Cromwell et al. 2014,isl013b,isl013b,64.0438,-21.3581,39.6,55.3310357523084,late weichsel ,
Cromwell et al. 2014,isl013b,isl013b2,64.0438,-21.3581,36.9,51.55846513283283,late weichsel ,
Cromwell et al. 2014,isl013b,isl013b3,64.0438,-21.3581,38.0,53.095438348174724,late weichsel ,
Cromwell et al. 2014,isl013b,isl013b4,64.0438,-21.3581,42.9,59.9419553983341,late weichsel ,
Cromwell et al. 2014,isl013b,isl013b5,64.0438,-21.3581,39.5,55.191310914550044,late weichsel ,
Cromwell et al. 2014,isl013c,isl013c4,64.0438,-21.3581,34.9,48.763968377665734,late weichsel ,
Cromwell et al. 2014,isl013d,isl013d,64.0438,-21.3581,43.6,60.920029262642586,late weichsel ,
Cromwell et al. 2014,isl013e,isl013e,64.0438,-21.3581,48.4,67.6268214750436,late weichsel ,
Cromwell et al. 2014,isl014b,isl014b2,64.0168,-21.2358,67.1,93.77060346493627,early brunhes,
Cromwell et al. 2014,isl014b,isl014b8,64.0168,-21.2358,61.8,86.36398351912165,early brunhes,
Cromwell et al. 2014,isl014b,isl014b9,64.0168,-21.2358,57.1,79.79584885019169,early brunhes,
Cromwell et al. 2014,isl014d,isl014d1,64.0168,-21.2358,54.9,76.72140283494785,early brunhes,
Cromwell et al. 2014,isl014d,isl014d2,64.0168,-21.2358,78.4,109.56207617959771,early brunhes,
Cromwell et al. 2014,isl014d,isl014d3,64.0168,-21.2358,84.5,118.08667649459188,early brunhes,
Cromwell et al. 2014,isl014d,isl014d4,64.0168,-21.2358,78.3,109.42232863345022,early brunhes,
Cromwell et al. 2014,isl014d,isl014d5,64.0168,-21.2358,81.9,114.4532402947583,early brunhes,
Cromwell et al. 2014,isl015c,isl015c1,63.9835,-16.8414,106.8,149.28033171931128,> .757 Ma,
