Site,Lat,Lon
GHI01,33.12635,35.78227
GHI02,33.15805,35.77673
GHI03,33.12279,35.72416
GHI04,32.91004,35.76312
GHI05,32.98981,35.767215
GHI06,33.06958,35.77143
GHI07,33.08581,35.75589
GHI08,33.17882,35.79236
GHI09,33.1943,35.75293
GHI10,33.05168,35.84968
GHI11,32.44972222,35.46383796
GHI12,32.71722222,35.55028241
GHI13,32.80527778,35.457625
GHI14,32.80555556,35.45818981
GHI15,32.80555556,35.45818981
GHI16,33.02555556,35.49632407
GHI17,33.02555556,35.49632407
GHI18,33.02583333,35.49491204
GHI19,32.99527778,35.52598611
GHI20,32.92629,35.84994
GHI21,32.92629,35.84994
GHI22,32.92629,35.84994
GHI23,33.24919,35.7894
GHI24,33.24919,35.7894
GHI25,33.24919,35.7894
GHI26,33.22,35.77683333
GHI27,33.2125,35.78615741
GHI28,33.2125,35.78615741
GHI29,33.17944444,35.79321759
GHI30,33.17944444,35.79321759
GHI31,33.141,35.679
GHI32,33.141,35.68
GHI33,33.141,35.68
GHI34,33.141,35.68
GHI35,33.141,35.68
GHI36,33.141,35.68
GHI37,33.142,35.679
GHI38,33.142,35.679
GHI39,33.141,35.682
GHI40,33.141,35.682
GHI41,33.141,35.683
GHI42,33.141,35.683
GHI43,33.143,35.687
GHI44,33.042,35.836
GHI45,33.042,35.836
GHI46,32.86829,35.82905
GHI47,33.094,35.752
GHI48,33.085,35.753
GHI49,33.065,35.749
GHI50,33.065,35.749
GHI51,33.004,35.684
GHI52,33.004,35.684
GH01,33.0678,35.74018
GH02,33.06746,35.74018
GH03,33.04463,35.67154
GH04,33.04396,35.66901
GH05,33.04417,35.66922
GH06,33.09859,35.80091
GH07,33.09597,35.72762
GH08,33.09605,35.72762
GH09,33.0464,35.70973
GH10,33.0039,35.68372
GH11,33.00444,35.68352
GH12,32.98555,35.74288
GH13,33.00856,35.82204
GH14,33.17575,35.77575
GH15,33.23632,35.75634
GH16,33.21511,35.74377
GH17,33.20363,35.73782
GH18,33.22599,35.72582
GH19,33.22658,35.724
GH20,33.146,35.77943
GH21,32.91003,35.76308
GH22,33.04162,35.836
GH23,33.06038,35.84427
GH24,33.04974,35.85139
GH25,32.96154,35.85678
GH26,32.92633,35.84982
GH27,32.86815,35.82887
GH28,32.86889,35.82825
GH29,33.20335,35.73827
GH30,32.8558,35.80069
GH31,32.93434,35.78133
GH32,32.97603,35.80064
GH33,32.98856,35.7913
GH34,32.98312,35.79625
GH35,32.97711,35.75094
GH36,32.94704,35.75662
GH37,32.98198,35.83036
GH38,33.17677,35.76476
GH39,33.15644,35.72501
GH40,33.09204,35.78264
GH41,33.13965,35.74096
GH42,33.13217,35.72959
GH43,33.12978,35.68269
GH44,33.12659,35.68304
GH45,32.68955,35.66908
GH46,32.68919,35.66756
GH47,32.76036,35.73468
GH48,32.77044,35.7453
GH49,32.84762,35.77367
GH50,32.85442,35.75322
GH51,32.85407,35.75411
GH52,32.80608,35.67796
GH53,33.1428,35.6827
GH54,33.1422,35.6855
GH55,33.1412,35.6828
GH56,33.1414,35.6828
GH57,33.1409,35.6815
GH58,33.141,35.6796
