lat,lon,period,zone
32.94726625,35.73978361,Early Pliocene Basalt,1
32.95325781,35.73531518,Early Pliocene Basalt,1
32.95290702,35.73325994,Early Pliocene Basalt,1
32.95225301,35.73093028,Early Pliocene Basalt,1
32.95127303,35.72907355,Early Pliocene Basalt,1
32.95074674,35.72727706,Early Pliocene Basalt,1
32.9465509,35.72527702,Early Pliocene Basalt,1
32.94545738,35.72397435,Early Pliocene Basalt,1
32.94415896,35.7214926,Early Pliocene Basalt,1
32.94239164,35.71894141,Early Pliocene Basalt,1
32.94094906,35.71700756,Early Pliocene Basalt,1
32.93892163,35.71556661,Early Pliocene Basalt,1
32.93638062,35.71339405,Early Pliocene Basalt,1
32.93530214,35.7120684,Early Pliocene Basalt,1
32.93422431,35.71019513,Early Pliocene Basalt,1
32.93401756,35.7090005,Early Pliocene Basalt,1
32.93041895,35.70683978,Early Pliocene Basalt,1
32.9279104,35.70477723,Early Pliocene Basalt,1
32.92676892,35.70345139,Early Pliocene Basalt,1
32.92600645,35.70274793,Early Pliocene Basalt,1
32.92265323,35.69693842,Early Pliocene Basalt,1
32.92014851,35.69394658,Early Pliocene Basalt,1
32.91872056,35.69159876,Early Pliocene Basalt,1
32.91706117,35.69039849,Early Pliocene Basalt,1
32.91575789,35.68749129,Early Pliocene Basalt,1
32.91481546,35.68629428,Early Pliocene Basalt,1
32.91284872,35.68372645,Early Pliocene Basalt,1
32.91293999,35.68316154,Early Pliocene Basalt,1
32.91091942,35.67985559,Early Pliocene Basalt,1
32.90791826,35.67664617,Early Pliocene Basalt,1
32.90684297,35.67473663,Early Pliocene Basalt,1
32.9054066,35.67218599,Early Pliocene Basalt,1
32.90495822,35.67211635,Early Pliocene Basalt,1
32.90190583,35.67105898,Early Pliocene Basalt,1
32.89830054,35.66757867,Early Pliocene Basalt,1
32.89712534,35.66622567,Early Pliocene Basalt,1
32.89549793,35.66480055,Early Pliocene Basalt,1
32.89431806,35.66397885,Early Pliocene Basalt,1
32.8911271,35.66189787,Early Pliocene Basalt,1
32.88894113,35.66044532,Early Pliocene Basalt,1
32.88675498,35.65846056,Early Pliocene Basalt,1
32.88454534,35.65648835,Early Pliocene Basalt,1
32.88220913,35.65564228,Early Pliocene Basalt,1
32.88083362,35.65490996,Early Pliocene Basalt,1
32.8780156,35.65401124,Early Pliocene Basalt,1
32.87620298,35.6526741,Early Pliocene Basalt,1
32.87398781,35.65071325,Early Pliocene Basalt,1
32.87215535,35.6499162,Early Pliocene Basalt,1
32.87030887,35.64912843,Early Pliocene Basalt,1
32.86656177,35.64741989,Early Pliocene Basalt,1
32.86512906,35.64725663,Early Pliocene Basalt,1
32.86301985,35.6482054,Early Pliocene Basalt,1
32.8635728,35.65064301,Early Pliocene Basalt,1
32.86582749,35.65445493,Early Pliocene Basalt,1
32.86695266,35.65635734,Early Pliocene Basalt,1
32.86892154,35.65894824,Early Pliocene Basalt,1
32.86994,35.66090116,Early Pliocene Basalt,1
32.87089734,35.6634011,Early Pliocene Basalt,1
32.87294364,35.66459563,Early Pliocene Basalt,1
32.87489013,35.66637516,Early Pliocene Basalt,1
32.87759903,35.66755955,Early Pliocene Basalt,1
32.87872933,35.6689257,Early Pliocene Basalt,1
32.87963912,35.67144295,Early Pliocene Basalt,1
32.88012506,35.67387242,Early Pliocene Basalt,1
32.87967938,35.6767022,Early Pliocene Basalt,1
32.87847095,35.67827903,Early Pliocene Basalt,1
32.87568597,35.67868733,Early Pliocene Basalt,1
32.87316814,35.68029007,Early Pliocene Basalt,1
32.87068914,35.68187363,Early Pliocene Basalt,1
32.86887148,35.68266967,Early Pliocene Basalt,1
32.86705119,35.68346684,Early Pliocene Basalt,1
32.86576936,35.68558736,Early Pliocene Basalt,1
32.86477929,35.68782783,Early Pliocene Basalt,1
32.86314816,35.69058901,Early Pliocene Basalt,1
32.86280229,35.69354902,Early Pliocene Basalt,1
32.8641586,35.69551752,Early Pliocene Basalt,1
32.8651039,35.69792592,Early Pliocene Basalt,1
32.86604675,35.70032822,Early Pliocene Basalt,1
32.86705147,35.70270712,Early Pliocene Basalt,1
32.86771494,35.7049917,Early Pliocene Basalt,1
32.86831956,35.70728953,Early Pliocene Basalt,1
32.86817409,35.71064107,Early Pliocene Basalt,1
32.86793363,35.71279584,Early Pliocene Basalt,1
32.86563287,35.71302443,Early Pliocene Basalt,1
32.86352066,35.71268744,Early Pliocene Basalt,1
